idProduct,print_id,idMetacard,card_name,collector_number,canonical_variant,canonical_rarity,product_image_sha256,canonical_image_sha256,minimum_relative_assignment_gap
657520,677767,408108,Gigantic Spright,POTE-JP047,rarity-ultra,ultra,552b796b249e1d123605aebf3ee0fc6ac71bfe52c81249a1c88cf748f5e3f309,849052cb376afce4317f34fb188b57c52f3bdcdc29e8a05ebfcd29f0ac28270a,0.045899
657521,690180,408108,Gigantic Spright,POTE-JP047,rarity-secret,secret,97fb666563f47e58749c1f615ace8d70602489615f62bfe79032d8d300baa5ce,49e347b3e39713ca76e28fa96d8f3e27e860e108115b74e5a6694f828f607b66,0.045899
657522,680647,408108,Gigantic Spright,POTE-JP047,rarity-ultimate,ultimate,f266b753735805590e8c593efdef38160632e33ee17261efa81ca83a6bcd1933,a555338616d693baab7b427bb7a9a402ea1cfb052e5c2395e6d03b0ad69f195d,0.045899
657523,673644,408108,Gigantic Spright,POTE-JP047,rarity-prismaticsecret,prismaticsecret,b4248f76fa1f9cfe6aa44994c215a4988f8c4128ea1af105d8c3d324e35d27fc,7f9464488df0e65b0d285b72bfc1620ffc1c1a33c2107f9561510ae9fc079250,0.045899
657525,689133,408110,Spright Elf,POTE-JP049,rarity-super,super,444cf968052143d1af2eeed52fe86b1cc219a80a0df074f3fa0cf1a495556f4d,85163d029862f18ad40cffdccd8bff679786d4f721ffab1340587cb1b72b012a,0.065401
657526,672231,408110,Spright Elf,POTE-JP049,rarity-secret,secret,23866f87450e10616e8a6c9ad1dcb8b1b447a860e27b1a9a291416078609038d,7c1647f8e280c17b098761cee7d375ecf50cf37becc9683dba835a2543c966ba,0.065401
657527,689415,408110,Spright Elf,POTE-JP049,rarity-prismaticsecret,prismaticsecret,1f1dab8f1c585e5cf84621c0c4a907da682f224dd1e5e2e637a7d1b35ee36611,39d06fb3c5048b13f4dd80553c786be9ba7eab648e542aea028e0ea64c9aab87,0.065401
657529,695811,408112,EN - Engage Neo Space,POTE-JP051,rarity-super,super,0c8700cc58f072bab51e31b38df483111f2ce831e22b9dd73f1cd3bd07206002,4e45f77578491a4dd71e48db4e35b7d3614f3d2cce43c29365c0a6b234f19cf2,0.031972
657530,673594,408112,EN - Engage Neo Space,POTE-JP051,rarity-secret,secret,a3175d26b1e37a1c0a4f12ba3bad93298d0510b5118596993bdf398cc977004c,9bbc319cd9c9df79c7a281746633f263ad23069722100d1efe57b038a7b8a798,0.031972
657531,702326,408112,EN - Engage Neo Space,POTE-JP051,rarity-prismaticsecret,prismaticsecret,407525c783ddb8c4bb8654fb9fe3e7cf24b18f67966f0cb9ff585df87f00c4ee,2116575b301f5b59964a7281f0714b063a31dc3893b96b4881f030b4297d6666,0.031972
657547,689093,408128,Ultimate Slayer,POTE-JP067,rarity-ultra,ultra,7f58451d6ab22795b705935a136aa80757e1fa029a147d1e7cf3ef6dc24ada42,4ad69f21ee398a8578362830e34a4ae2228b13a5d1f1d7693a022c1bbeb3816e,0.077915
657548,701170,408128,Ultimate Slayer,POTE-JP067,rarity-secret,secret,ffd37046e166c6dac2f7e998eeda1a457712dac1b1403cc5edb949614e57856a,d7b06e120ad222b5a870ad77b4f56d2ec0e65fb93a6b9b80b953efdd03879982,0.077915
657549,672533,408128,Ultimate Slayer,POTE-JP067,rarity-ultimate,ultimate,8308be965fa4717ee373876305ae246608f6ce877f8afa60c69714705ac3938c,68f08f488317ceeaed9d3ed2ac0626ae95f34a896a0629629caa45ac9c417b11,0.077915
657550,699844,408128,Ultimate Slayer,POTE-JP067,rarity-prismaticsecret,prismaticsecret,6c5f271d8815784883629d9f9ab4fbe6c02a0b46b42790fb25e6d00668dff50d,8d132194ac0f22b10c5507968559f53e2ea409c36b63ea17d7878dded5d82494,0.077915
